id,question,choices,correct,explanation,subject,difficulty
67,What is the full name of DDT?,"Dichlorodiphenyltrichloroethane,Dichlorodiphenyltetrachloroethylene,Dichlorodimethyltrichloroethane,Dichlorodiphenyltrichloromethane",0,DDT is a synthetic pesticide famous for its environmental persistence and bioaccumulation. Its full chemical name is Dichlorodiphenyltrichloroethane.,Chemistry,Medium
68,A chemical element appears shiny but is brittle and a poor conductor. What type of element is this likely to be classified as?,"Metal,Nonmetal,Metalloid,Noble Gas",2,"Metalloids are elements that have properties intermediate between metals and nonmetals. They are often shiny like metals but are brittle and are semiconductors of electricity (poor conductors compared to metals), like silicon or germanium.",Chemistry,Medium
69,Name the chemical family which barium is in.,"Alkali Metals,Alkali Earth Metals,Halogens,Noble Gases",1,"Barium (Ba) is in Group 2 of the periodic table. Elements in this group are called the Alkaline Earth Metals. They have two valence electrons and are reactive, though less so than the alkali metals in Group 1.",Chemistry,Medium
70,An element from the alkali metal family is likely to react with elements from which family?,"Noble Gases,Halogens,Alkaline Earth Metals,Transition Metals",1,"Alkali metals (Group 1) have one valence electron and want to lose it to form a +1 ion. Halogens (Group 17) have seven valence electrons and want to gain one electron to form a -1 ion. This complementary need makes them highly likely to react together to form ionic compounds (e.g., NaCl).",Chemistry,Medium
71,Explain the purpose of the valence electron shell when compounds bond with each other.,"It determines the element's color,Atoms seek a full or empty valence shell for stability,It stores excess energy,It protects the nucleus",1,"The driving force behind chemical bonding is the tendency of atoms to achieve a stable electron configuration, typically a full valence shell (like the noble gases). Atoms will gain, lose, or share electrons to achieve this stable configuration, forming chemical bonds in the process.",Chemistry,Medium
72,What is the charge of a strontium ion?,"1+,2+,1-,2-",1,"Strontium (Sr) is in Group 2 (Alkaline Earth Metals). Atoms in this group have two valence electrons. To achieve a stable electron configuration, they readily lose these two electrons to form cations with a 2+ charge (Sr²⁺).",Chemistry,Medium
73,"Two compounds, calcium chloride and sucrose, are used in an experiment. Which one likely has the higher melting point?","Calcium Chloride,Sucrose,They have the same melting point,It depends on the amount",0,"Calcium chloride (CaCl₂) is an ionic compound. Ionic compounds have strong electrostatic forces of attraction between ions, requiring a lot of energy to break, resulting in high melting points. Sucrose (C₁₂H₂₂O₁₁) is a molecular compound with weaker intermolecular forces, leading to a lower melting point.",Chemistry,Medium
74,Distinguish a single-replacement and a double-replacement reaction.,"Single: A + BC -> AC + B; Double: AB + CD -> AD + CB,Single: A + B -> AB; Double: AB -> A + B,Single: AB + C -> AC + B; Double: AB + CD -> AD + CB,They are the same type of reaction",2,A single-replacement reaction involves one element replacing another in a compound: A + BC → AC + B. A double-replacement reaction involves the exchange of ions between two compounds: AB + CD → AD + CB.,Chemistry,Medium
77,"Two molecular compounds, CH4 and C3H8, are used in a chemical reaction. Which compound likely contains stronger intermolecular forces, and why?","CH4; it is polar,C3H8; it is larger and has more electrons,CH4; it is smaller,C3H8; it is polar",1,"Both CH₄ (methane) and C₃H₈ (propane) are nonpolar molecules, so London Dispersion Forces (LDF) are their only intermolecular force. LDF strength increases with the number of electrons and the size/shape of the molecule. C₃H₈ is a larger molecule with more electrons, resulting in stronger LDF and a higher boiling point than CH₄.",Chemistry,Hard
78,What is the name of the molecular geometry for a molecule with 4 bonding pairs and 0 lone pairs on the central atom?,"Trigonal Pyramidal,Tetrahedral,Trigonal Planar,Linear",1,A central atom with four atoms bonded to it and no lone pairs adopts a tetrahedral geometry. The bond angles are approximately 109.5°. Methane (CH₄) is a classic example.,Chemistry,Hard
79,What is the name of the molecular geometry for a molecule with 3 bonding pairs and 1 lone pair on the central atom?,"Trigonal Pyramidal,Tetrahedral,Trigonal Planar,Linear",0,"The electron geometry is tetrahedral (four regions of electron density), but the molecular geometry, which describes the arrangement of atoms, is trigonal pyramidal. The lone pair pushes the three bonding pairs down, creating a pyramid shape. Ammonia (NH₃) is an example.",Chemistry,Hard
80,What is the name of the molecular geometry for a molecule with 2 bonding pairs and 2 lone pairs on the central atom?,"Trigonal Pyramidal,Tetrahedral,Bent,Linear",2,"The electron geometry is tetrahedral (four regions of electron density), but the molecular geometry is bent or angular. The two lone pairs exert a stronger repulsion, compressing the bond angle to less than 109.5°. Water (H₂O) is an example.",Chemistry,Hard
81,What is the name of the molecular geometry for a molecule with 2 bonding pairs and 0 lone pairs on the central atom?,"Trigonal Pyramidal,Tetrahedral,Bent,Linear",3,A central atom with only two atoms bonded to it and no lone pairs has a linear geometry. The bond angle is 180°. Carbon dioxide (O=C=O) is an example.,Chemistry,Hard
82,What is the name of the molecular geometry for a molecule with 3 bonding pairs and 0 lone pairs on the central atom?,"Trigonal Pyramidal,Tetrahedral,Trigonal Planar,Linear",2,A central atom with three atoms bonded to it and no lone pairs has a trigonal planar geometry. The bond angles are 120°. Boron trifluoride (BF₃) is an example.,Chemistry,Hard
83,What is the name of the molecular geometry for a molecule with 5 bonding pairs and 0 lone pairs on the central atom?,"Trigonal Bipyramidal,Octahedral,Tetrahedral,Trigonal Planar",0,A central atom with five atoms bonded to it and no lone pairs has a trigonal bipyramidal geometry. This consists of a trigonal plane with one atom above and one below the plane. Phosphorus pentafluoride (PF₅) is an example.,Chemistry,Hard
84,What is the name of the molecular geometry for a molecule with 6 bonding pairs and 0 lone pairs on the central atom?,"Trigonal Bipyramidal,Octahedral,Tetrahedral,Trigonal Planar",1,A central atom with six atoms bonded to it and no lone pairs has an octahedral geometry. The six atoms are symmetrically placed at the corners of an octahedron (90° bond angles). Sulfur hexafluoride (SF₆) is an example.,Chemistry,Hard
85,What is the name of the molecular geometry for a molecule with 4 bonding pairs and 2 lone pairs on the central atom?,"Trigonal Bipyramidal,Octahedral,Square Planar,Tetrahedral",2,"The electron geometry is octahedral (six regions of electron density). With two lone pairs, the molecular geometry becomes square planar. The lone pairs are typically opposite each other to minimize repulsion, and the four bonding atoms form a flat square. Xenon tetrafluoride (XeF₄) is an example.",Chemistry,Hard
86,What is the name of the molecular geometry for a molecule with 5 bonding pairs and 1 lone pair on the central atom?,"Trigonal Bipyramidal,Octahedral,Square Pyramidal,Square Planar",2,"The electron geometry is octahedral (six regions of electron density). With one lone pair, the molecular geometry becomes square pyramidal. The five bonding atoms form the base of a pyramid and the apex, while the lone pair occupies the sixth position. Bromine pentafluoride (BrF₅) is an example.",Chemistry,Hard
87,What is the name of the molecular geometry for a molecule with 4 bonding pairs and 1 lone pair on the central atom?,"Trigonal Bipyramidal,See-Saw,Square Pyramidal,Square Planar",1,"The electron geometry is trigonal bipyramidal (five regions of electron density). With one lone pair, the molecular geometry becomes seesaw (or distorted tetrahedron). The lone pair typically occupies an equatorial position to minimize repulsion. Sulfur tetrafluoride (SF₄) is an example.",Chemistry,Hard
88,What is the name of the molecular geometry for a molecule with 3 bonding pairs and 2 lone pairs on the central atom?,"Trigonal Bipyramidal,T-Shaped,See-Saw,Square Planar",1,"The electron geometry is trigonal bipyramidal (five regions of electron density). With two lone pairs, the molecular geometry becomes T-shaped. The lone pairs occupy two equatorial positions, and the three bonding atoms form a T. Chlorine trifluoride (ClF₃) is an example.",Chemistry,Hard
89,What is the name of the molecular geometry for a molecule with 2 bonding pairs and 3 lone pairs on the central atom?,"Trigonal Bipyramidal,Linear,T-Shaped,See-Saw",1,"The electron geometry is trigonal bipyramidal (five regions of electron density). With three lone pairs, the molecular geometry becomes linear. The lone pairs occupy the three equatorial positions, and the two bonding atoms are in the two axial positions, directly opposite each other. Iodine triiodide (I₃⁻) is an example.",Chemistry,Hard
90,What is the name of the molecular geometry for a molecule with 2 bonding pairs and 1 lone pair on the central atom?,"Trigonal Bipyramidal,Linear,Bent,T-Shaped",2,"The electron geometry is trigonal bipyramidal (five regions of electron density). With one lone pair and two bonding pairs, the molecular geometry is bent. The bond angle is less than 120° (typical for trigonal bipyramidal electron geometry). Sulfur dioxide (SO₂) can be described this way, though its primary description uses VSEPR for three regions.",Chemistry,Hard
91,"A car is travelling at 20 m/s. The driver applies the brakes, and the car comes to a stop in 4 seconds. What is the car's acceleration?","-5 m/s²,5 m/s²,80 m/s²,-80 m/s²",0,"Acceleration is the rate of change of velocity. The formula is a = (v_f - v_i) / t. The final velocity (v_f) is 0 m/s, the initial velocity (v_i) is 20 m/s, and the time (t) is 4 s. Therefore, a = (0 - 20) / 4 = -20 / 4 = -5 m/s². The negative sign indicates deceleration.",Physics,Easy
92,"A car is travelling at 20 m/s. The driver applies the brakes, and the car comes to a stop in 4 seconds. How far did the car travel while braking?","40 m,80 m,20 m,10 m",0,"To find distance (d) under constant acceleration, use d = v_i*t + (1/2)*a*t². From the previous question, we know a = -5 m/s². v_i = 20 m/s, t = 4 s. So, d = (20 * 4) + (1/2 * -5 * (4)²) = 80 + (1/2 * -5 * 16) = 80 + (-40) = 40 meters.",Physics,Easy
93,"A car is travelling at 20 m/s. The driver applies the brakes, and the car comes to a stop in 4 seconds. What is the car's average velocity during the braking period?","10 m/s,5 m/s,20 m/s,0 m/s",0,"For motion with constant acceleration, the average velocity is (v_i + v_f) / 2. The initial velocity (v_i) is 20 m/s and the final velocity (v_f) is 0 m/s. Therefore, average velocity = (20 + 0) / 2 = 10 m/s.",Physics,Easy
94,A ball is dropped from a height of 20 m. How long does it take to hit the ground? (Assume g = 10 m/s²),"2 s,4 s,6 s,8 s",0,Use the equation for distance under constant acceleration from rest: d = (1/2)gt². We know d = 20 m and g = 10 m/s². Solve for t: 20 = (1/2)*10*t² -> 20 = 5t² -> t² = 4 -> t = 2 seconds.,Physics,Easy
95,A ball is dropped from a height of 20 m. What is its velocity the moment before it hits the ground? (Assume g = 10 m/s²),"20 m/s,10 m/s,40 m/s,200 m/s",0,"Use the kinematic equation: v_f² = v_i² + 2ad. The initial velocity (v_i) is 0 m/s (dropped), acceleration (a) is g = 10 m/s², and distance (d) is 20 m. v_f² = 0 + 2*10*20 = 400. Therefore, v_f = √400 = 20 m/s.",Physics,Easy
96,A ball is thrown straight up with an initial velocity of 30 m/s. How high does it go? (Assume g = 10 m/s²),"45 m,90 m,60 m,15 m",0,"At its maximum height, the ball's velocity is 0 m/s. Use v_f² = v_i² + 2ad. v_f = 0, v_i = 30 m/s, a = -g = -10 m/s² (negative because it opposes the motion). Solve for d: 0 = (30)² + 2*(-10)*d -> 0 = 900 - 20d -> 20d = 900 -> d = 45 meters.",Physics,Easy
97,A ball is thrown straight up with an initial velocity of 30 m/s. How long is it in the air? (Assume g = 10 m/s²),"3 s,6 s,9 s,12 s",1,The time to go up equals the time to come down. Find the time to reach the top (where v_f = 0) using v_f = v_i + at. 0 = 30 + (-10)t -> 10t = 30 -> t = 3 seconds to go up. Total time in air is twice this: 2 * 3 s = 6 seconds.,Physics,Easy
100,A book is sitting on a table. What forces are acting on the book?,"Gravity and the normal force,Gravity only,The normal force only,Gravity and friction",0,"Two forces act on the book: gravity pulls it downward, and the table exerts an upward force called the normal force. Since the book is not accelerating, these two forces are equal in magnitude and opposite in direction. There is no friction because the book is not attempting to slide.",Physics,Easy
